station,longitude,latitude,year,month,date,气温_2m_℃,最高气温_℃,最低气温_℃,气温日较差_℃,露点温度_℃,地表温度_℃,气压_kPa,风速_10m_ms,最大风速_10m_ms,风向_10m_度,风速_50m_ms,相对湿度_%,比湿_gkg,降水量_mm_day,短波辐射_全天空_kWhm2day,长波辐射_全天空_kWhm2day,光合有效辐射_kWhm2day,UVA辐射_kWhm2day,UVB辐射_kWhm2day,紫外线指数,短波辐射_晴空_kWhm2day,长波辐射_晴空_kWhm2day,总云量_%,蒸散发_mm_day,陆地蒸发_mm_day,根区土壤湿度_01,剖面土壤湿度_01,表层土壤湿度_01,高温指数_℃,风寒指数_℃
Baise,106.62,23.9,2005,1,2005-01,9.2,28.51,-2.77,11.21,4.45,9.56,96.43,2.66,6.97,74.3,4.27,75.14,5.73,1.02,6.73,28.67,3.1,0.42,0.01,0.58,15.02,25.3,66.45,0.11,0.81,0.53,0.53,0.53,,7.75
Baise,106.62,23.9,2005,2,2005-02,13.86,34.23,0.52,14.5,7.36,14.61,96.16,3.42,7.46,92.2,5.13,68.26,7.25,0.62,10.04,30.58,4.64,0.62,0.02,0.96,18.26,27.57,61.3,0.14,1.08,0.52,0.52,0.5,,
Baise,106.62,23.9,2005,3,2005-03,16.78,33.88,3.54,13.89,9.53,17.46,96.22,3.33,8.11,106.6,5.12,66.15,8.29,1.7,11.19,31.08,5.15,0.68,0.02,1.04,20.58,28.06,74.28,0.17,1.31,0.51,0.52,0.5,,
Baise,106.62,23.9,2005,4,2005-04,22.73,38.85,11.41,13.43,14.99,23.39,95.78,2.98,7.07,135.5,4.76,65.96,11.42,3.05,14.76,33.0,6.78,0.88,0.02,1.4,22.96,31.02,63.68,0.54,2.06,0.53,0.53,0.52,22.78,
Baise,106.62,23.9,2005,5,2005-05,26.95,39.99,18.4,11.79,20.83,27.34,95.11,2.75,6.87,159.2,4.69,73.49,16.43,8.19,19.11,34.76,8.99,1.21,0.03,2.01,26.06,33.24,65.91,2.71,4.16,0.62,0.61,0.65,29.06,
Baise,106.62,23.9,2005,6,2005-06,26.34,33.72,21.35,7.33,23.86,26.38,94.86,2.15,4.97,129.8,3.72,87.24,19.68,17.14,13.81,35.97,6.74,0.94,0.03,1.64,25.55,34.48,91.3,3.49,4.79,0.88,0.87,0.89,28.76,
Baise,106.62,23.9,2005,7,2005-07,26.58,33.6,21.11,8.14,23.46,26.56,95.17,2.35,6.34,151.5,4.01,84.35,19.12,4.05,18.13,35.18,8.61,1.18,0.03,2.08,26.54,33.68,65.77,5.36,5.54,0.86,0.86,0.86,29.14,
Baise,106.62,23.9,2005,8,2005-08,25.95,35.58,19.51,8.35,22.95,26.01,95.13,1.94,4.53,103.5,3.46,84.91,18.56,6.31,14.47,35.76,6.96,0.96,0.03,1.65,24.31,33.86,85.24,5.36,4.98,0.81,0.8,0.83,26.82,
Baise,106.62,23.9,2005,9,2005-09,24.81,33.01,16.83,9.99,20.92,24.82,95.69,2.39,6.7,71.3,4.23,80.91,16.32,2.75,16.09,34.21,7.51,1.02,0.03,1.69,22.85,32.55,59.8,5.89,4.9,0.72,0.73,0.75,25.46,
Baise,106.62,23.9,2005,10,2005-10,20.98,32.73,10.21,10.94,16.03,21.15,96.25,2.28,4.98,63.5,4.04,75.68,12.16,1.2,12.14,32.79,5.54,0.72,0.02,1.15,18.03,30.43,60.91,3.38,3.05,0.62,0.63,0.64,21.11,
Baise,106.62,23.9,2005,11,2005-11,17.56,31.32,4.79,11.2,12.86,17.77,96.28,2.34,4.66,74.4,4.12,76.25,10.33,0.85,10.31,30.88,4.71,0.62,0.02,0.97,16.15,28.53,60.54,1.43,1.91,0.59,0.59,0.59,,
Baise,106.62,23.9,2005,12,2005-12,10.46,24.71,-0.3,11.03,3.84,10.66,96.74,2.66,6.95,54.6,4.5,66.89,5.57,0.9,8.44,27.65,3.76,0.48,0.01,0.67,14.13,24.97,59.79,0.36,1.04,0.55,0.56,0.55,,
Baise,106.62,23.9,2006,1,2006-01,11.75,27.19,-1.26,13.07,6.07,12.11,96.33,2.81,6.25,77.7,4.67,71.0,6.61,0.11,9.17,28.73,4.1,0.54,0.01,0.83,15.42,25.52,60.16,0.25,0.9,0.54,0.55,0.53,,
Baise,106.62,23.9,2006,2,2006-02,13.54,30.04,4.13,11.31,8.31,14.17,96.45,3.17,7.02,82.8,4.79,73.19,7.34,1.19,7.53,31.19,3.57,0.5,0.01,0.83,18.03,27.17,86.85,0.15,1.03,0.52,0.53,0.52,,
Baise,106.62,23.9,2006,3,2006-03,18.38,35.41,2.51,14.68,10.99,19.22,95.91,3.2,9.34,104.2,4.97,66.09,9.05,0.57,11.77,32.6,5.36,0.7,0.02,1.18,20.05,28.86,80.91,0.26,1.31,0.52,0.52,0.49,,
Baise,106.62,23.9,2006,4,2006-04,24.67,40.18,9.63,14.64,15.33,25.47,95.51,3.4,7.38,151.6,5.34,60.81,11.81,2.88,16.94,33.26,7.76,1.01,0.03,1.75,23.71,31.19,64.93,0.44,2.08,0.51,0.52,0.49,24.78,
Baise,106.62,23.9,2006,5,2006-05,24.78,39.75,14.2,11.82,18.11,25.2,95.52,2.75,8.49,128.3,4.58,70.82,14.06,6.33,17.25,33.6,8.1,1.11,0.03,1.8,26.38,31.85,67.93,1.95,3.37,0.58,0.58,0.61,25.16,
Baise,106.62,23.9,2006,6,2006-06,25.93,34.88,20.07,7.91,23.12,26.02,95.11,2.22,4.4,154.8,3.89,85.78,18.75,10.2,15.28,35.54,7.36,1.02,0.03,1.72,25.75,33.99,87.26,4.22,4.56,0.76,0.75,0.81,26.82,
Baise,106.62,23.9,2006,7,2006-07,26.64,33.8,21.3,7.88,23.75,26.64,94.87,2.14,7.66,127.9,3.75,85.41,19.53,9.34,16.37,35.76,7.87,1.1,0.03,1.91,26.31,34.29,81.3,4.8,5.04,0.86,0.85,0.87,29.37,
Baise,106.62,23.9,2006,8,2006-08,25.63,32.8,19.6,7.62,22.78,25.5,95.18,2.12,11.34,72.8,3.63,85.42,18.35,8.12,15.55,34.96,7.34,0.99,0.03,1.69,24.2,33.49,75.24,4.32,4.5,0.91,0.9,0.89,26.48,
Baise,106.62,23.9,2006,9,2006-09,23.21,32.78,13.74,9.77,19.32,23.09,95.72,2.25,5.69,64.2,3.97,80.43,14.99,2.54,16.9,33.25,7.76,1.02,0.03,1.65,22.01,31.75,57.03,5.51,4.75,0.8,0.8,0.81,23.69,
Baise,106.62,23.9,2006,10,2006-10,22.5,30.08,13.74,9.65,19.02,22.56,96.12,1.96,4.33,103.2,3.62,82.33,14.46,2.78,11.08,33.83,5.07,0.65,0.02,1.0,17.45,31.62,63.98,4.12,3.57,0.68,0.69,0.72,22.96,
Baise,106.62,23.9,2006,11,2006-11,17.44,29.2,7.2,11.14,12.91,17.37,96.18,2.31,5.04,68.5,4.06,77.09,9.89,1.37,10.62,31.09,4.78,0.61,0.01,0.85,15.65,28.57,58.51,2.3,2.29,0.63,0.63,0.65,,
Baise,106.62,23.9,2006,12,2006-12,11.62,26.69,2.07,12.32,5.99,11.59,96.7,2.5,6.01,56.0,4.3,71.33,6.23,0.23,9.51,27.6,4.13,0.51,0.01,0.68,13.71,25.15,51.87,0.85,1.37,0.59,0.6,0.6,,
Baise,106.62,23.9,2007,1,2007-01,9.54,22.34,-0.1,11.95,3.48,9.72,96.82,2.77,6.47,51.1,4.5,69.28,5.21,0.7,7.62,28.7,3.41,0.45,0.01,0.64,14.93,24.7,77.63,0.31,1.05,0.57,0.57,0.56,,8.09
Baise,106.62,23.9,2007,2,2007-02,17.39,30.73,5.66,13.43,11.44,17.63,96.03,2.98,7.62,152.2,4.93,71.85,9.17,1.06,11.71,31.06,5.23,0.67,0.02,0.98,17.57,27.98,63.58,0.39,1.37,0.55,0.55,0.54,,
Baise,106.62,23.9,2007,3,2007-03,19.09,37.65,5.45,13.8,12.18,19.74,95.83,3.45,7.39,135.7,5.41,68.76,9.73,0.75,12.46,32.55,5.55,0.69,0.02,1.12,19.42,29.19,73.86,0.4,1.54,0.53,0.54,0.51,,
Baise,106.62,23.9,2007,4,2007-04,20.65,38.86,6.85,13.37,12.75,21.28,95.91,2.8,9.24,86.8,4.43,64.77,9.97,2.37,14.18,32.58,6.5,0.84,0.02,1.31,22.65,29.9,80.55,0.45,1.75,0.52,0.53,0.51,20.46,
Baise,106.62,23.9,2007,5,2007-05,24.87,40.34,14.21,13.39,17.0,25.31,95.46,2.45,6.41,146.6,4.14,66.3,13.13,4.16,18.28,33.38,8.54,1.16,0.03,1.87,26.39,31.77,66.14,1.49,3.0,0.56,0.56,0.56,25.14,
Baise,106.62,23.9,2007,6,2007-06,26.39,35.23,18.92,9.22,22.57,26.55,95.07,2.24,5.06,154.9,3.91,81.34,18.17,8.37,17.83,35.39,8.49,1.17,0.03,2.0,26.22,33.76,81.6,4.89,4.62,0.66,0.65,0.71,28.52,
Baise,106.62,23.9,2007,7,2007-07,26.51,33.7,21.56,7.66,23.51,26.6,95.04,2.64,6.04,163.4,4.55,84.9,19.2,6.84,16.6,35.55,8.0,1.13,0.03,2.03,26.65,33.94,89.71,5.53,4.89,0.72,0.71,0.77,29.02,
Baise,106.62,23.9,2007,8,2007-08,26.4,34.72,19.94,8.97,22.53,26.38,95.1,1.95,5.26,98.5,3.44,81.03,18.1,7.83,17.42,35.07,8.2,1.1,0.03,1.9,24.44,33.66,70.96,5.87,4.9,0.71,0.71,0.75,28.52,
Baise,106.62,23.9,2007,9,2007-09,22.82,31.71,13.66,9.35,19.55,22.8,95.57,2.44,5.5,45.0,4.25,83.28,15.12,6.48,13.89,33.63,6.53,0.89,0.03,1.47,22.58,32.01,69.18,5.11,4.6,0.79,0.78,0.81,23.33,
Baise,106.62,23.9,2007,10,2007-10,20.22,31.25,11.07,10.45,15.86,20.23,96.15,2.36,5.62,57.5,4.16,77.98,12.03,0.78,12.15,32.3,5.45,0.69,0.02,1.07,17.7,30.12,56.02,4.16,3.44,0.68,0.68,0.7,20.33,
Baise,106.62,23.9,2007,11,2007-11,14.94,27.28,2.86,13.07,8.33,14.75,96.49,2.55,7.05,39.2,4.47,68.48,7.36,0.95,13.72,27.3,6.03,0.76,0.02,1.03,16.63,25.88,36.33,1.99,2.17,0.6,0.61,0.61,,
Baise,106.62,23.9,2007,12,2007-12,13.27,27.25,1.76,11.76,8.24,13.48,96.35,2.54,5.38,79.1,4.4,74.25,7.37,0.53,6.73,30.38,3.04,0.4,0.01,0.58,13.69,26.56,78.14,0.39,1.02,0.55,0.56,0.54,,
Baise,106.62,23.9,2008,1,2008-01,7.93,29.24,-1.43,11.71,2.07,8.29,96.52,2.97,6.61,57.4,4.43,69.44,4.9,1.09,7.35,28.21,3.32,0.44,0.01,0.64,15.82,24.73,67.17,0.17,0.87,0.54,0.54,0.53,,6.03
Baise,106.62,23.9,2008,2,2008-02,8.32,25.68,-1.61,11.13,2.32,8.74,96.69,2.7,6.59,57.3,4.36,68.93,4.97,1.39,7.34,28.84,3.4,0.46,0.01,0.8,17.58,24.21,88.19,0.3,1.16,0.58,0.57,0.58,,6.68
Baise,106.62,23.9,2008,3,2008-03,18.47,36.99,5.16,13.53,11.99,18.88,95.95,2.75,6.66,124.7,4.51,70.39,9.54,1.87,12.49,31.65,5.64,0.73,0.02,1.23,20.32,28.69,75.39,0.69,1.93,0.57,0.57,0.57,,
Baise,106.62,23.9,2008,4,2008-04,22.88,39.52,10.81,13.06,16.39,23.52,95.61,3.04,7.71,129.1,4.81,70.77,12.5,2.33,14.52,33.82,6.68,0.87,0.03,1.48,23.22,31.22,77.9,0.9,2.38,0.56,0.56,0.55,23.07,
Baise,106.62,23.9,2008,5,2008-05,24.14,35.27,14.54,11.21,18.55,24.51,95.3,2.58,7.38,111.1,4.39,74.06,14.35,6.23,15.71,34.21,7.37,0.99,0.03,1.69,25.19,32.1,78.07,2.6,3.55,0.6,0.6,0.63,24.54,
Baise,106.62,23.9,2008,6,2008-06,25.45,33.11,18.06,9.59,21.57,25.52,95.07,2.16,5.19,114.3,3.63,81.05,17.11,8.74,14.78,35.41,7.04,0.96,0.03,1.6,25.43,33.59,85.09,5.07,4.82,0.73,0.72,0.77,26.17,
Baise,106.62,23.9,2008,7,2008-07,26.13,35.86,20.72,7.89,22.99,26.16,95.02,2.13,5.96,154.2,3.68,84.37,18.6,8.17,15.94,35.27,7.67,1.06,0.03,1.85,26.1,33.63,87.79,5.38,4.99,0.8,0.79,0.83,27.0,
Baise,106.62,23.9,2008,8,2008-08,25.75,35.52,19.79,7.62,23.08,25.78,95.17,2.2,7.42,127.3,3.89,86.34,18.67,9.02,14.7,35.18,7.07,0.98,0.03,1.7,24.96,33.53,89.45,4.73,4.75,0.84,0.84,0.86,26.63,
Baise,106.62,23.9,2008,9,2008-09,24.75,33.99,16.8,8.95,21.48,24.7,95.5,2.19,10.02,82.2,3.81,83.5,16.9,6.55,15.73,34.31,7.31,0.98,0.03,1.61,22.38,32.72,61.49,5.19,4.63,0.83,0.83,0.84,25.46,
Baise,106.62,23.9,2008,10,2008-10,21.45,29.62,13.76,9.79,18.23,21.43,96.1,2.09,5.29,76.4,3.73,83.4,13.78,4.93,11.65,33.45,5.39,0.72,0.02,1.15,18.55,31.04,71.5,4.29,3.75,0.78,0.78,0.81,21.83,
Baise,106.62,23.9,2008,11,2008-11,14.4,26.91,4.09,10.32,11.22,14.24,96.51,2.32,4.99,50.2,4.1,82.84,8.99,4.54,11.42,28.82,5.1,0.66,0.02,0.95,16.53,26.74,51.74,2.22,2.78,0.89,0.88,0.88,,
Baise,106.62,23.9,2008,12,2008-12,11.0,21.13,0.8,10.74,7.21,10.59,96.58,2.3,7.31,50.0,3.85,79.1,6.77,0.34,9.11,27.96,3.99,0.5,0.01,0.7,14.15,25.02,57.12,1.48,1.97,0.78,0.78,0.8,,
Baise,106.62,23.9,2009,1,2009-01,8.83,21.66,-0.31,11.48,4.31,8.75,96.71,2.62,7.09,65.8,4.38,75.56,5.65,0.43,9.5,27.71,4.17,0.53,0.01,0.77,15.39,24.06,66.56,1.04,1.78,0.72,0.72,0.75,,7.34
Baise,106.62,23.9,2009,2,2009-02,18.52,32.97,7.01,12.05,14.4,18.67,95.79,3.13,7.87,165.2,5.24,79.45,10.93,0.13,13.87,31.09,6.17,0.79,0.02,1.26,18.38,28.71,48.96,1.38,2.24,0.64,0.65,0.66,,
Baise,106.62,23.9,2009,3,2009-03,17.07,34.99,3.04,13.18,11.36,17.64,95.91,3.1,10.48,96.6,4.85,72.61,9.25,1.07,12.59,31.79,5.65,0.72,0.02,1.17,20.24,28.8,77.46,0.8,1.94,0.59,0.59,0.58,,
Baise,106.62,23.9,2009,4,2009-04,22.02,34.16,9.51,12.21,15.95,22.54,95.64,3.16,6.66,129.1,5.01,71.94,12.23,2.95,13.35,33.83,6.21,0.82,0.02,1.35,23.27,30.86,81.51,1.36,2.7,0.58,0.58,0.58,22.16,
Baise,106.62,23.9,2009,5,2009-05,23.87,33.71,14.2,10.02,19.5,24.26,95.52,2.84,6.74,130.4,4.6,78.93,15.03,6.6,14.16,34.71,6.77,0.94,0.03,1.57,25.71,32.28,80.83,3.08,3.75,0.63,0.63,0.66,24.37,
Baise,106.62,23.9,2009,6,2009-06,26.14,34.24,17.47,8.96,22.4,26.2,94.93,2.06,4.64,144.0,3.56,81.91,18.1,7.35,16.72,35.28,7.98,1.1,0.03,1.82,26.1,33.87,81.4,4.57,4.39,0.68,0.68,0.73,26.95,
Baise,106.62,23.9,2009,7,2009-07,26.52,34.87,20.67,8.41,23.45,26.63,94.96,2.24,5.66,154.3,3.9,84.62,19.15,8.82,16.49,35.81,7.96,1.11,0.03,1.96,26.63,34.17,80.61,5.83,5.29,0.78,0.78,0.82,29.02,
Baise,106.62,23.9,2009,8,2009-08,26.79,34.9,18.79,9.43,22.82,26.84,95.21,2.14,4.93,114.6,3.8,80.69,18.4,1.9,18.75,35.03,8.81,1.18,0.03,2.05,24.83,33.82,61.15,6.16,5.08,0.72,0.72,0.74,29.34,
Baise,106.62,23.9,2009,9,2009-09,25.89,36.6,16.76,10.28,20.78,26.12,95.5,2.26,5.89,70.9,3.99,75.7,16.24,3.58,15.08,34.65,7.06,0.95,0.03,1.57,22.39,33.02,57.84,4.23,4.01,0.63,0.63,0.65,26.51,
Baise,106.62,23.9,2009,10,2009-10,22.22,32.35,14.82,11.15,16.58,22.53,95.95,2.32,5.02,66.3,4.11,73.37,12.42,0.8,10.92,33.59,5.02,0.66,0.02,1.05,17.82,31.05,68.92,1.83,2.39,0.57,0.58,0.57,22.41,
Baise,106.62,23.9,2009,11,2009-11,15.54,32.76,2.2,12.59,7.32,15.81,96.39,2.82,7.5,60.3,4.62,61.89,7.28,0.2,11.79,29.11,5.3,0.68,0.02,1.01,16.31,26.75,51.4,0.45,1.16,0.52,0.53,0.49,,
Baise,106.62,23.9,2009,12,2009-12,12.95,27.99,1.7,11.52,6.45,13.37,96.38,2.67,8.0,81.5,4.39,67.46,6.6,0.13,7.74,29.85,3.47,0.46,0.01,0.59,13.72,26.13,79.37,0.1,0.45,0.5,0.51,0.42,,
Baise,106.62,23.9,2010,1,2010-01,12.34,28.88,1.87,12.84,6.76,12.77,96.43,2.71,6.49,87.3,4.39,71.83,6.8,1.83,8.79,29.71,3.98,0.53,0.01,0.76,15.66,26.16,73.29,0.18,0.73,0.52,0.52,0.47,,
Baise,106.62,23.9,2010,2,2010-02,15.74,34.33,2.11,14.55,7.94,16.29,95.92,3.4,8.38,127.3,5.33,65.06,7.57,0.11,13.75,29.42,6.1,0.78,0.02,1.15,18.68,27.07,58.09,0.19,1.21,0.53,0.53,0.5,,
Baise,106.62,23.9,2010,3,2010-03,18.97,35.69,5.0,14.2,9.27,19.73,95.98,3.69,8.18,128.9,5.57,58.18,8.32,0.07,13.65,31.81,6.01,0.73,0.02,1.14,19.43,29.01,68.43,0.03,0.5,0.49,0.5,0.36,,
Baise,106.62,23.9,2010,4,2010-04,21.3,39.62,8.68,13.39,14.14,22.11,95.8,3.28,6.8,105.0,4.95,67.66,10.91,3.29,14.37,33.71,6.69,0.89,0.03,1.48,23.67,30.79,81.26,0.32,1.91,0.52,0.52,0.52,21.25,
Baise,106.62,23.9,2010,5,2010-05,25.36,36.95,16.27,11.18,20.58,25.81,95.23,2.99,6.95,140.2,4.77,77.42,16.14,7.44,14.39,35.42,6.89,0.94,0.03,1.53,25.11,33.3,85.32,2.72,3.79,0.61,0.6,0.64,25.97,
Baise,106.62,23.9,2010,6,2010-06,24.85,35.15,16.99,7.96,22.01,24.99,95.2,2.44,5.29,119.5,4.16,85.54,17.64,9.65,12.31,35.8,6.05,0.85,0.02,1.43,25.73,33.99,93.09,3.77,4.0,0.71,0.7,0.76,25.62,
Baise,106.62,23.9,2010,7,2010-07,26.65,33.75,22.41,7.4,23.97,26.7,95.15,2.64,6.78,154.0,4.58,86.41,19.72,5.88,17.09,35.45,8.2,1.14,0.03,1.97,26.51,34.17,89.51,4.99,4.81,0.79,0.78,0.81,29.47,
Baise,106.62,23.9,2010,8,2010-08,25.75,32.62,18.73,7.88,22.79,25.79,95.41,2.1,4.62,130.2,3.65,84.95,18.32,4.56,17.04,35.15,8.15,1.13,0.03,1.96,25.43,33.63,76.52,5.56,4.79,0.78,0.77,0.81,26.6,
Baise,106.62,23.9,2010,9,2010-09,24.68,34.72,15.39,8.93,21.55,24.75,95.53,2.06,6.37,92.5,3.71,84.35,17.03,5.94,14.74,34.71,6.94,0.94,0.03,1.54,22.26,33.07,72.09,4.79,4.28,0.74,0.74,0.78,25.41,
Baise,106.62,23.9,2010,10,2010-10,19.3,30.59,6.61,10.19,15.09,19.36,96.09,2.68,5.69,42.9,4.72,78.5,11.67,0.85,13.31,31.56,6.14,0.82,0.02,1.28,19.39,29.65,64.15,4.26,3.74,0.71,0.71,0.73,,
Baise,106.62,23.9,2010,11,2010-11,15.63,26.52,6.9,11.7,10.52,15.58,96.37,2.21,5.64,45.9,3.94,74.32,8.31,0.67,10.86,29.16,4.79,0.6,0.01,0.84,15.36,26.79,54.02,1.78,1.99,0.6,0.61,0.61,,
Baise,106.62,23.9,2010,12,2010-12,12.26,26.9,0.09,11.51,7.27,12.19,96.19,2.62,7.38,62.7,4.4,74.26,6.98,1.88,8.41,29.19,3.82,0.5,0.01,0.69,14.45,26.16,66.26,0.85,1.45,0.6,0.6,0.62,,
Baise,106.62,23.9,2011,1,2011-01,5.18,15.23,-2.21,9.3,-0.05,5.62,96.76,2.96,7.13,48.2,4.56,70.99,3.98,0.64,4.49,28.42,2.13,0.3,0.01,0.44,14.77,23.4,96.76,0.28,1.06,0.6,0.6,0.6,,2.74
Baise,106.62,23.9,2011,2,2011-02,13.52,32.12,1.49,12.29,8.43,14.01,96.06,2.98,6.69,117.5,4.73,74.12,7.57,0.34,9.93,30.74,4.54,0.61,0.02,0.94,18.37,26.66,78.35,0.38,1.24,0.57,0.57,0.56,,
Baise,106.62,23.9,2011,3,2011-03,13.66,30.12,3.94,11.93,7.96,14.26,96.39,3.14,8.83,66.0,4.8,71.56,7.19,2.78,8.96,30.88,4.23,0.58,0.02,0.93,21.16,26.7,91.08,0.69,1.73,0.58,0.58,0.59,,
Baise,106.62,23.9,2011,4,2011-04,21.71,34.42,9.42,12.42,15.59,22.21,95.8,2.99,7.1,142.7,4.84,71.59,11.78,1.52,12.58,33.49,5.9,0.79,0.02,1.28,23.45,30.42,88.94,0.88,2.19,0.57,0.57,0.56,21.81,
Baise,106.62,23.9,2011,5,2011-05,23.82,38.03,13.98,12.28,17.44,24.19,95.43,2.71,6.47,118.7,4.43,71.01,13.28,4.11,18.11,33.32,8.44,1.14,0.03,1.91,26.14,31.64,68.9,2.41,3.39,0.59,0.59,0.61,24.11,
Baise,106.62,23.9,2011,6,2011-06,26.69,36.39,19.71,8.33,23.04,26.92,94.94,2.45,6.33,150.1,4.22,82.18,18.7,8.83,15.41,35.83,7.45,1.04,0.03,1.77,25.95,34.23,91.9,3.32,3.92,0.64,0.63,0.68,29.23,
Baise,106.62,23.9,2011,7,2011-07,26.85,35.71,21.81,8.91,22.88,26.96,95.01,2.34,5.92,135.3,3.99,80.57,18.48,2.25,17.62,35.31,8.24,1.09,0.03,1.88,24.73,34.03,70.47,5.77,4.73,0.68,0.68,0.71,29.46,
Baise,106.62,23.9,2011,8,2011-08,26.65,37.18,18.99,10.67,21.06,26.94,95.25,2.17,5.13,131.9,3.73,74.56,16.59,2.3,18.35,34.53,8.63,1.17,0.03,2.03,25.11,33.25,64.31,3.03,3.52,0.59,0.59,0.59,28.59,
Baise,106.62,23.9,2011,9,2011-09,25.22,35.36,14.55,11.08,19.29,25.67,95.48,2.7,9.24,71.6,4.56,72.6,14.98,4.63,14.56,34.58,6.81,0.91,0.03,1.49,22.12,32.72,70.1,1.94,3.12,0.57,0.57,0.57,25.69,
Baise,106.62,23.9,2011,10,2011-10,19.62,30.94,12.51,9.11,16.37,19.65,96.11,2.39,6.46,55.8,4.1,83.05,12.32,5.31,10.77,32.71,5.05,0.69,0.02,1.07,19.03,30.29,72.12,3.7,3.3,0.68,0.68,0.73,,
Baise,106.62,23.9,2011,11,2011-11,17.94,27.7,7.27,10.89,14.33,17.75,96.22,2.05,5.64,96.2,3.6,81.33,10.79,1.61,11.71,30.18,5.21,0.66,0.02,0.94,15.98,28.32,44.17,2.57,2.3,0.64,0.64,0.67,,
Baise,106.62,23.9,2011,12,2011-12,9.74,23.11,0.64,11.42,3.89,9.94,96.77,2.66,6.05,48.3,4.59,69.68,5.39,0.32,7.96,28.05,3.5,0.44,0.01,0.59,13.38,24.58,69.94,0.86,1.4,0.59,0.6,0.6,,8.4
Baise,106.62,23.9,2012,1,2012-01,7.76,17.89,-1.73,8.42,4.37,8.17,96.49,2.64,5.68,63.8,4.09,80.5,5.55,2.47,4.6,30.06,2.22,0.32,0.01,0.53,15.21,25.01,96.48,0.41,1.07,0.62,0.61,0.64,,6.05
Baise,106.62,23.9,2012,2,2012-02,11.32,27.77,0.95,11.75,6.78,11.92,96.13,3.23,6.0,81.1,4.9,75.54,6.76,0.32,7.82,30.96,3.65,0.51,0.01,0.79,18.31,26.23,92.27,0.57,1.41,0.6,0.6,0.6,,
Baise,106.62,23.9,2012,3,2012-03,17.96,33.36,5.86,12.97,11.81,18.55,95.93,3.4,8.85,121.1,5.26,71.12,9.54,0.82,10.94,32.56,4.94,0.62,0.02,0.99,19.45,28.9,82.49,0.49,1.66,0.56,0.56,0.55,,
Baise,106.62,23.9,2012,4,2012-04,24.44,41.05,11.01,14.3,16.04,25.19,95.43,3.35,8.34,142.1,5.21,64.38,12.21,1.12,18.04,33.49,8.25,1.08,0.03,1.75,23.99,31.25,66.94,0.43,1.92,0.52,0.53,0.49,24.62,
Baise,106.62,23.9,2012,5,2012-05,25.76,41.7,17.14,9.89,20.64,26.21,95.23,2.5,6.53,119.8,4.19,77.14,16.24,7.74,15.39,35.05,7.33,1.0,0.03,1.62,25.45,33.33,79.05,1.99,3.16,0.6,0.59,0.63,26.41,
Baise,106.62,23.9,2012,6,2012-06,25.85,32.69,19.23,8.27,22.78,25.96,94.8,2.23,4.8,114.0,3.88,84.47,18.47,11.33,13.49,35.87,6.48,0.88,0.03,1.46,24.5,34.33,87.69,4.52,4.72,0.75,0.74,0.8,26.7,
Baise,106.62,23.9,2012,7,2012-07,26.37,32.58,21.69,7.43,23.67,26.45,94.93,2.58,8.66,154.4,4.45,86.25,19.4,7.27,15.46,35.49,7.51,1.06,0.03,1.83,26.76,33.96,87.17,5.13,5.1,0.81,0.81,0.83,28.77,
Baise,106.62,23.9,2012,8,2012-08,26.33,34.53,19.34,8.83,22.83,26.29,95.08,2.05,10.75,68.5,3.58,82.54,18.44,3.44,16.9,35.11,7.9,1.05,0.03,1.78,24.23,33.76,72.34,5.81,4.94,0.82,0.82,0.83,28.46,
Baise,106.62,23.9,2012,9,2012-09,23.08,31.91,12.85,8.75,19.61,23.17,95.75,2.21,5.41,83.2,3.95,82.49,15.26,3.39,13.45,33.96,6.36,0.87,0.02,1.43,22.05,32.16,81.33,4.85,4.18,0.72,0.72,0.75,23.6,
Baise,106.62,23.9,2012,10,2012-10,21.63,30.6,11.23,10.28,17.5,21.77,96.03,2.38,6.03,104.6,4.18,79.48,13.25,1.77,11.71,33.25,5.36,0.71,0.02,1.12,18.21,30.86,68.56,3.43,3.07,0.64,0.64,0.66,21.92,
Baise,106.62,23.9,2012,11,2012-11,16.92,30.5,7.47,10.3,13.26,17.11,96.07,2.46,8.03,97.3,4.24,80.84,10.27,1.79,8.67,31.81,4.04,0.55,0.01,0.82,16.11,29.04,76.82,1.98,2.17,0.62,0.62,0.65,,
Baise,106.62,23.9,2012,12,2012-12,11.92,28.54,0.2,11.28,6.99,12.13,96.37,2.9,6.47,67.7,4.71,74.31,6.88,1.13,7.54,29.73,3.44,0.46,0.01,0.67,14.51,26.06,76.93,0.76,1.4,0.59,0.59,0.59,,
Baise,106.62,23.9,2013,1,2013-01,9.83,25.2,0.27,10.26,5.68,10.06,96.54,2.65,6.87,77.1,4.36,77.39,6.25,0.64,5.68,29.86,2.66,0.37,0.01,0.58,14.78,25.24,89.49,0.37,1.04,0.59,0.59,0.59,,8.51
Baise,106.62,23.9,2013,2,2013-02,16.28,31.66,3.84,13.16,11.0,16.84,96.15,3.45,8.13,134.4,5.39,73.95,9.01,0.35,9.96,31.52,4.63,0.63,0.02,1.05,18.82,27.83,81.53,0.4,1.38,0.55,0.56,0.54,,
Baise,106.62,23.9,2013,3,2013-03,20.57,34.58,5.84,14.09,13.14,21.16,95.87,3.15,7.08,130.3,5.0,66.65,10.28,1.87,14.17,32.27,6.28,0.78,0.02,1.24,19.83,29.66,67.3,0.4,1.73,0.53,0.53,0.52,20.42,
